97777,50438
97777,51654
97917,51654
97917,52888
98209,52888
98209,54048
97408,54048
97408,55315
97904,55315
97904,56494
97509,56494
97509,57724
97504,57724
97504,58929
97317,58929
97317,60009
96537,60009
96537,61174
96226,61174
96226,62461
96371,62461
96371,63724
96352,63724
96352,64802
95707,64802
95707,66100
95728,66100
95728,67084
94861,67084
94861,68094
94118,68094
94118,69459
94221,69459
94221,70553
93671,70553
93671,71397
92628,71397
92628,72727
92553,72727
92553,73820
92003,73820
92003,74727
91138,74727
91138,75699
90400,75699
90400,77035
90214,77035
90214,77850
89241,77850
89241,78773
88440,78773
88440,79779
87751,79779
87751,80541
86762,80541
86762,81647
86188,81647
86188,82703
85536,82703
85536,83111
84200,83111
84200,84566
83937,84566
83937,84866
82539,84866
82539,85617
81590,85617
81590,86529
80782,86529
80782,87177
79750,87177
79750,88382
79151,88382
79151,88851
77984,88851
77984,89575
77009,89575
77009,90253
76002,90253
76002,90543
74757,90543
74757,91225
73761,91225
73761,92578
73124,92578
73124,92801
71860,92801
71860,93551
70869,93551
70869,93649
69572,93649
69572,94550
68635,94550
68635,94399
67264,94399
67264,94753
66109,94753
66109,95626
65129,95626
65129,95546
63832,95546
63832,96493
62843,96493
62843,96653
61623,96653
61623,96888
60428,96888
60428,96868
59184,96868
59184,97687
58096,97687
58096,97928
56893,97928
56893,98032
55670,98032
55670,98277
54462,98277
54462,97565
53183,97565
53183,98328
52006,98328
52006,98158
50778,98158
50778,97733
49562,97733
49562,98026
48342,98026
48342,98154
47114,98154
47114,97530
45941,97530
45941,97931
44681,97931
44681,97531
43502,97531
43502,97227
42321,97227
42321,97098
41111,97098
41111,96725
39950,96725
39950,96653
38721,96653
38721,95963
37648,95963
37648,95941
36397,95941
36397,95450
35280,95450
35280,95056
34136,95056
34136,94504
33051,94504
33051,94129
31901,94129
31901,94074
30605,94074
30605,92986
29769,92986
29769,92920
28455,92920
28455,92097
27516,92097
27516,92146
26098,92146
26098,91329
25157,91329
25157,90848
24015,90848
24015,89941
23147,89941
23147,88782
22475,88782
22475,88115
21469,88115
21469,87656
20295,87656
20295,86932
19316,86932
19316,86200
18341,86200
18341,85446
17380,85446
17380,84311
16780,84311
16780,83356
16026,83356
16026,82903
14743,82903
14743,81862
14075,81862
14075,81221
12949,81221
12949,79750
12822,79750
12822,78757
12135,78757
12135,77869
11308,77869
11308,77109
10278,77109
10278,75933
9853,75933
9853,75253
8644,75253
8644,73844
8629,73844
8629,73044
7569,73044
7569,71935
7052,71935
7052,70651
6904,70651
6904,69812
5816,69812
5816,68374
6073,68374
6073,67455
5110,67455
5110,66105
5257,66105
5257,65133
4361,65133
4361,63824
4479,63824
4479,62665
4149,62665
4149,61517
3774,61517
3774,60381
3323,60381
3323,59208
3007,59208
3007,58105
2259,58105
2259,56792
2771,56792
2771,55568
2826,55568
2826,54460
1743,54460
1743,53216
1945,53216
1945,51978
2347,51978
2347,50782
1602,50782
1602,50408
94582,50408
94582,48356
2384,48356
2384,47157
2552,47157
2552,45940
2460,45940
2460,44706
2297,44706
2297,43515
2562,43515
2562,42280
2523,42280
2523,41167
3197,41167
3197,39944
3249,39944
3249,38787
3617,38787
3617,37533
3608,37533
3608,36336
3853,36336
3853,35225
4379,35225
4379,34181
5072,34181
5072,32774
4768,32774
4768,31832
5701,31832
5701,30493
5671,30493
5671,29688
6842,29688
6842,28644
7454,28644
7454,27231
7368,27231
7368,26298
8206,26298
8206,25432
9127,25432
9127,24416
9781,24416
9781,23114
10008,23114
10008,22469
11209,22469
11209,21167
11480,21167
11480,20141
12149,20141
12149,19149
12865,19149
12865,18149
13579,18149
13579,17474
14656,17474
14656,16801
15710,16801
15710,15889
16509,15889
16509,15208
17530,15208
17530,14324
18358,14324
18358,13166
18961,13166
18961,12572
20049,12572
20049,11503
20761,11503
20761,11337
22151,11337
22151,10343
22935,10343
22935,9475
23822,9475
23822,9419
25219,9419
25219,8146
25876,8146
25876,8070
27227,8070
27227,7253
28167,7253
28167,7091
29438,7091
29438,5914
30231,5914
30231,5469
31372,5469
31372,5316
32624,5316
32624,4615
33663,4615
33663,3986
34741,3986
34741,3794
35967,3794
35967,3557
37170,3557
37170,3047
38301,3047
38301,3275
39608,3275
39608,3115
40812,3115
40812,2361
41912,2361
41912,2245
43131,2245
43131,2107
44346,2107
44346,2546
45613,2546
45613,2564
46825,2564
46825,1708
47994,1708
47994,2016
49224,2016
49224,2439
50436,2439
50436,2221
51649,2221
51649,2102
52869,2102
52869,2144
54086,2144
54086,2729
55245,2729
55245,2863
56443,2863
56443,2251
57763,2251
57763,2968
58875,2968
58875,3233
60058,3233
60058,3277
61294,3277
61294,3767
62423,3767
62423,3514
63763,3514
63763,4766
64649,4766
64649,4431
66044,4431
66044,4807
67210,4807
67210,5895
68088,5895
68088,5821
69440,5821
69440,6387
70525,6387
70525,7490
71337,7490
71337,7771
72553,7771
72553,8382
73601,8382
73601,8488
74951,8488
74951,9233
75932,9233
75932,9906
76954,9906
76954,10700
77891,10700
77891,11554
78777,11554
78777,12640
79470,12640
79470,12830
80879,12830
80879,13831
81630,13831
81630,15016
82194,15016
82194,15435
83464,15435
83464,16070
84557,16070
84557,17143
85205,17143
85205,18397
85630,18397
85630,19259
86480,19259
86480,19743
87809,19743
87809,20730
88538,20730
88538,21925
88977,21925
88977,23096
89420,23096
89420,23847
90485,23847
90485,24780
91299,24780
91299,25886
91835,25886
91835,26947
92445,26947
92445,28172
92737,28172
92737,29253
